kode,kab_kota,n_odr,n_otg,n_odp,n_pdp,n_confirm,n_sembuh,n_meninggal,last_update,lat,long
35.15,KAB. SIDOARJO,626,543,374,107,21,3,4,2020-04-11 14:11:54,"-7,4338023","112,6734275"
35.10,KAB. BANYUWANGI,2903,114,529,7,3,1,1,2020-04-11 13:44:21,"-8,4169235","114,3311312"
35.08,KAB. LUMAJANG,2790,132,241,16,8,0,1,2020-04-11 16:16:44,"-8,1295529","113,2236942"
35.21,KAB. NGAWI,15340,10,222,10,0,0,0,2020-04-11 13:23:29,"-7,4324690","111,2547392"
35.12,KAB. SITUBONDO,2939,100,233,26,8,4,0,2020-04-11 13:20:38,"-7,7168478","113,9278534"
35.74,KOTA PROBOLINGGO,620,40,197,4,1,0,0,2020-04-11 14:37:50,"-7,7723105","113,1664559"
35.78,KOTA SURABAYA,4080,431,1290,519,97,33,11,2020-04-11 16:29:27,"-7,2756141","112,6426424"
35.24,KAB. LAMONGAN,30033,280,234,110,13,0,0,2020-04-11 13:04:45,"-7,1181110","112,4149810"
35.73,KOTA MALANG,1042,153,444,68,8,4,0,2020-04-11 15:16:58,"-7,9786395","112,5617416"
35.07,KAB. MALANG,1237,41,209,86,11,4,1,2020-04-11 12:52:41,-8.2084395,"112,7468452"
35.18,KAB. NGANJUK,16642,359,41,18,9,0,0,2020-04-11 12:42:32,"-7,6150520","111,6670610"
35.76,KOTA MOJOKERTO,698,1,192,6,0,0,0,2020-04-11 12:40:39,"-7,4714887","112,4217213"
35.04,KAB. TULUNGAGUNG,6492,98,865,116,7,0,0,2020-04-11 15:20:40,"-7,7455014","111,8953035"
35.13,KAB. PROBOLINGGO,3995,22,305,11,4,0,0,2020-04-11 15:01:40,"-7,8223105","113,3864559"
35.23,KAB. TUBAN,10258,88,462,8,2,0,1,2020-04-11 12:33:42,-6.899108667900085,111.763916015625
35.11,KAB. BONDOWOSO,9326,27,842,2,1,0,0,2020-04-11 12:25:37,"-8,0284796","114,0265067"
35.16,KAB. MOJOKERTO,4907,0,231,38,0,0,0,2020-04-11 12:22:56,"-7,586911","112,420605"
35.72,KOTA BLITAR,901,13,147,2,1,1,0,2020-04-11 13:21:33,"-8,1031510","112,1626800"
35.77,KOTA MADIUN,545,3,47,8,0,0,0,2020-04-11 12:14:14,"-7,6300605","111,4930316"
35.17,KAB. JOMBANG,6168,142,454,5,3,0,0,2020-04-11 12:10:08,"-7,5567779","112,2489964"
35.75,KOTA PASURUAN,565,6,60,1,2,0,1,2020-04-11 12:15:35,"-7,6514338","112,8700750"
35.79,KOTA BATU,897,56,119,10,2,1,0,2020-04-11 11:25:00,"-7,8769031","112,4998848"
35.19,KAB. MADIUN,412,236,221,6,3,1,0,2020-04-10 16:26:15,"-7,6666455","111,5912452"
35.14,KAB. PASURUAN,283,22,78,30,3,0,0,2020-04-10 15:41:44,"-7,7514338","112,8700750"
35.22,KAB. BOJONEGORO,13124,48,113,1,1,0,1,2020-04-10 14:29:35,"-7,1524790","111,8869290"
35.29,KAB. SUMENEP,20048,13,120,0,0,0,0,2020-04-10 14:10:44,"-7,0095355","113,8495442"
35.17,KAB. JOMBANG,5882,104,449,5,3,0,0,2020-04-10 15:37:23,"-7,5567779","112,2489964"
35.10,KAB. BANYUWANGI,2886,62,514,7,3,1,0,2020-04-10 15:56:14,"-8,4169235","114,3311312"
35.02,KAB. PONOROGO,10423,68,317,17,6,0,0,2020-04-10 16:11:51,"-7,8756185","111,4692888"
35.01,KAB. PACITAN,10501,9,459,4,1,0,0,2020-04-10 14:01:30,"-8,1318878","111,2278873"
35.71,KOTA KEDIRI,1009,47,149,3,6,1,0,2020-04-10 15:09:38,"-7,8228400","112,0118640"
35.06,KAB. KEDIRI,7342,190,357,22,9,1,2,2020-04-10 16:08:41,"-7,8332959","112,1666262"
35.21,KAB. NGAWI,14041,10,218,10,0,0,0,2020-04-10 13:58:43,"-7,4324690","111,2547392"
35.09,KAB. JEMBER,6965,110,791,19,2,1,0,2020-04-10 13:58:31,"-8,3951516","113,6809395"
35.03,KAB. TRENGGALEK,12968,7,635,9,1,0,0,2020-04-10 13:57:36,"-8,176848","111,610650"
35.05,KAB. BLITAR,758,16,571,7,1,1,0,2020-04-10 13:57:12,"-8,2814419","112,3027620"
35.12,KAB. SITUBONDO,2835,100,229,26,8,4,0,2020-04-10 13:44:33,"-7,7168478","113,9278534"
35.25,KAB. GRESIK,847,74,997,76,10,1,1,2020-04-10 16:20:43,"-7,1610846","112,6220300"
35.72,KOTA BLITAR,848,13,144,2,1,1,0,2020-04-10 13:19:31,"-8,1031510","112,1626800"
35.07,KAB. MALANG,1143,40,201,78,11,4,1,2020-04-10 16:09:54,-8.2084395,"112,7468452"
35.04,KAB. TULUNGAGUNG,6348,98,860,106,7,0,0,2020-04-10 13:17:36,"-7,7455014","111,8953035"
35.23,KAB. TUBAN,9790,82,453,7,2,0,1,2020-04-10 13:12:42,-6.899108667900085,111.763916015625
35.24,KAB. LAMONGAN,29084,279,226,110,13,0,0,2020-04-10 13:11:38,"-7,1181110","112,4149810"
35.08,KAB. LUMAJANG,2720,90,240,15,6,0,1,2020-04-10 15:22:00,"-8,1295529","113,2236942"
35.74,KOTA PROBOLINGGO,559,40,194,4,1,0,0,2020-04-10 15:25:17,"-7,7723105","113,1664559"
35.76,KOTA MOJOKERTO,683,1,190,6,0,0,0,2020-04-10 13:00:51,"-7,4714887","112,4217213"
35.15,KAB. SIDOARJO,605,543,367,103,21,3,3,2020-04-10 15:38:42,"-7,4338023","112,6734275"
35.20,KAB. MAGETAN,269,1,118,15,10,8,1,2020-04-10 14:36:41,"-7,6774309","111,3616371"
35.28,KAB. PAMEKASAN,7254,7254,152,2,2,0,1,2020-04-10 12:57:53,"-7,1548002","113,4379637"
35.73,KOTA MALANG,954,153,438,60,8,4,0,2020-04-10 12:57:06,"-7,9786395","112,5617416"
35.26,KAB. BANGKALAN,13017,7,417,3,3,0,0,2020-04-10 15:19:31,"-7,0234914","112,7519820"
35.27,KAB. SAMPANG,9448,6,271,0,0,0,0,2020-04-10 12:43:52,"-7,1927155","113,2429293"
35.77,KOTA MADIUN,519,3,46,8,0,0,0,2020-04-10 12:29:14,"-7,6300605","111,4930316"
35.18,KAB. NGANJUK,15570,354,36,17,9,0,0,2020-04-10 15:36:47,"-7,6150520","111,6670610"
35.78,KOTA SURABAYA,4080,431,1255,497,97,32,10,2020-04-10 15:31:11,"-7,2756141","112,6426424"
35.11,KAB. BONDOWOSO,9165,27,827,1,1,0,0,2020-04-10 12:13:22,"-8,0284796","114,0265067"
35.79,KOTA BATU,891,29,111,9,2,0,0,2020-04-10 12:07:03,"-7,8769031","112,4998848"
35.16,KAB. MOJOKERTO,4802,0,224,37,0,0,0,2020-04-10 12:06:26,"-7,586911","112,420605"
35.13,KAB. PROBOLINGGO,3890,6,296,10,3,0,0,2020-04-10 15:58:52,"-7,8223105","113,3864559"
35.75,KOTA PASURUAN,547,0,57,1,2,0,0,2020-04-10 15:16:12,"-7,6514338","112,8700750"
35.22,KAB. BOJONEGORO,12901,48,111,1,1,0,0,2020-04-09 17:31:49,"-7,1524790","111,8869290"
35.12,KAB. SITUBONDO,2661,100,228,24,8,4,0,2020-04-09 15:22:03,"-7,7168478","113,9278534"
35.19,KAB. MADIUN,405,236,196,8,1,0,0,2020-04-09 14:38:32,"-7,6666455","111,5912452"
35.28,KAB. PAMEKASAN,7303,20,185,2,2,0,1,2020-04-09 14:31:38,"-7,1548002","113,4379637"
35.14,KAB. PASURUAN,278,22,71,29,0,0,0,2020-04-09 14:37:01,"-7,7514338","112,8700750"
35.01,KAB. PACITAN,9755,5,418,4,1,0,0,2020-04-09 17:30:59,"-8,1318878","111,2278873"
35.78,KOTA SURABAYA,4080,425,1167,448,93,27,8,2020-04-09 17:12:19,"-7,2756141","112,6426424"
35.71,KOTA KEDIRI,973,47,147,4,2,1,0,2020-04-09 17:24:35,"-7,8228400","112,0118640"
35.05,KAB. BLITAR,757,16,567,7,1,1,0,2020-04-09 14:12:50,"-8,2814419","112,3027620"
35.10,KAB. BANYUWANGI,2762,62,499,9,1,1,0,2020-04-09 13:55:08,"-8,4169235","114,3311312"
35.02,KAB. PONOROGO,9855,27,311,17,5,0,0,2020-04-09 17:29:58,"-7,8756185","111,4692888"
35.09,KAB. JEMBER,6352,102,766,18,2,1,0,2020-04-09 13:53:55,"-8,3951516","113,6809395"
35.17,KAB. JOMBANG,5669,68,431,6,3,0,0,2020-04-09 17:18:17,"-7,5567779","112,2489964"
35.03,KAB. TRENGGALEK,12551,7,630,8,1,0,0,2020-04-09 13:46:15,"-8,176848","111,610650"
35.06,KAB. KEDIRI,6924,189,341,21,7,1,2,2020-04-09 16:16:23,"-7,8332959","112,1666262"
35.72,KOTA BLITAR,815,13,144,2,1,1,0,2020-04-09 13:38:33,"-8,1031510","112,1626800"
35.74,KOTA PROBOLINGGO,550,35,191,4,0,0,0,2020-04-09 14:01:33,"-7,7723105","113,1664559"
35.21,KAB. NGAWI,13893,10,218,10,0,0,0,2020-04-09 13:34:56,"-7,4324690","111,2547392"
35.29,KAB. SUMENEP,19005,13,115,0,0,0,0,2020-04-09 13:26:50,"-7,0095355","113,8495442"
35.15,KAB. SIDOARJO,531,605,358,100,20,3,2,2020-04-09 17:11:17,"-7,4338023","112,6734275"
35.27,KAB. SAMPANG,8864,6,261,0,0,0,0,2020-04-09 13:21:30,"-7,1927155","113,2429293"
35.11,KAB. BONDOWOSO,8999,23,812,1,1,0,0,2020-04-09 13:19:30,"-8,0284796","114,0265067"
35.04,KAB. TULUNGAGUNG,6190,98,858,94,7,0,0,2020-04-09 17:27:52,"-7,7455014","111,8953035"
35.73,KOTA MALANG,946,153,428,60,8,4,0,2020-04-09 15:47:49,"-7,9786395","112,5617416"
35.07,KAB. MALANG,1138,36,191,71,10,4,1,2020-04-09 17:35:32,-8.2084395,"112,7468452"
35.18,KAB. NGANJUK,15117,286,36,17,8,0,0,2020-04-09 17:26:00,"-7,6150520","111,6670610"
35.26,KAB. BANGKALAN,12582,8,407,2,1,0,0,2020-04-09 17:30:41,"-7,0234914","112,7519820"
35.76,KOTA MOJOKERTO,683,1,190,6,0,0,0,2020-04-09 12:45:43,"-7,4714887","112,4217213"
35.23,KAB. TUBAN,9484,82,447,7,2,0,1,2020-04-09 12:45:36,-6.899108667900085,111.763916015625
35.16,KAB. MOJOKERTO,4692,0,224,37,0,0,0,2020-04-09 12:45:29,"-7,586911","112,420605"
35.20,KAB. MAGETAN,269,1,116,16,9,8,1,2020-04-09 12:46:16,"-7,6774309","111,3616371"
35.25,KAB. GRESIK,819,74,987,74,8,1,1,2020-04-09 17:20:54,"-7,1610846","112,6220300"
35.75,KOTA PASURUAN,518,2,57,0,0,0,0,2020-04-09 12:34:59,"-7,6514338","112,8700750"
35.08,KAB. LUMAJANG,2620,90,234,16,5,0,0,2020-04-09 17:23:19,"-8,1295529","113,2236942"
35.13,KAB. PROBOLINGGO,3608,7,288,10,0,0,0,2020-04-09 12:31:55,"-7,8223105","113,3864559"
35.77,KOTA MADIUN,492,3,46,8,0,0,0,2020-04-09 12:18:40,"-7,6300605","111,4930316"
35.24,KAB. LAMONGAN,28529,279,223,110,13,0,0,2020-04-09 13:33:07,"-7,1181110","112,4149810"
35.79,KOTA BATU,868,29,107,9,2,0,0,2020-04-09 17:26:25,"-7,8769031","112,4998848"
35.19,KAB. MADIUN,404,236,172,8,1,0,0,2020-04-08 15:08:06,"-7,6666455","111,5912452"
35.12,KAB. SITUBONDO,100,2655,224,21,8,0,0,2020-04-08 15:07:42,"-7,7168478","113,9278534"
35.29,KAB. SUMENEP,18002,13,113,0,0,0,0,2020-04-08 15:00:48,"-7,0095355","113,8495442"
35.22,KAB. BOJONEGORO,12372,48,107,2,0,0,0,2020-04-08 14:55:26,"-7,1524790","111,8869290"
35.71,KOTA KEDIRI,906,47,143,5,1,0,0,2020-04-08 14:41:59,"-7,8228400","112,0118640"
35.14,KAB. PASURUAN,278,15,33,29,0,0,0,2020-04-08 15:53:04,"-7,7514338","112,8700750"
35.01,KAB. PACITAN,9554,5,411,5,0,0,0,2020-04-08 14:16:31,"-8,1318878","111,2278873"
35.02,KAB. PONOROGO,9250,27,298,15,3,0,0,2020-04-08 14:48:59,"-7,8756185","111,4692888"
35.05,KAB. BLITAR,758,16,551,7,1,1,0,2020-04-08 13:54:33,"-8,2814419","112,3027620"
35.15,KAB. SIDOARJO,573,471,347,98,18,1,2,2020-04-08 13:52:05,"-7,4338023","112,6734275"
35.20,KAB. MAGETAN,269,1,112,15,9,8,1,2020-04-08 14:10:28,"-7,6774309","111,3616371"
35.09,KAB. JEMBER,5400,102,714,15,2,0,0,2020-04-08 13:46:36,"-8,3951516","113,6809395"
35.24,KAB. LAMONGAN,27532,279,218,110,13,0,0,2020-04-08 14:50:21,"-7,1181110","112,4149810"
35.23,KAB. TUBAN,9001,8,432,7,2,0,1,2020-04-08 15:13:11,-6.899108667900085,111.763916015625
35.06,KAB. KEDIRI,6298,189,338,17,7,0,2,2020-04-08 13:32:10,"-7,8332959","112,1666262"
35.74,KOTA PROBOLINGGO,516,35,180,3,0,0,0,2020-04-08 14:03:16,"-7,7723105","113,1664559"
35.21,KAB. NGAWI,12431,5,211,7,0,0,0,2020-04-08 13:53:43,"-7,4324690","111,2547392"
35.73,KOTA MALANG,917,153,369,57,8,4,0,2020-04-08 14:59:09,"-7,9786395","112,5617416"
35.03,KAB. TRENGGALEK,11726,7,606,8,1,0,0,2020-04-08 13:56:12,"-8,176848","111,610650"
35.17,KAB. JOMBANG,4944,54,377,6,2,0,0,2020-04-08 15:06:53,"-7,5567779","112,2489964"
35.10,KAB. BANYUWANGI,2762,62,487,5,1,1,0,2020-04-08 13:19:25,"-8,4169235","114,3311312"
35.25,KAB. GRESIK,790,60,850,69,5,1,1,2020-04-08 13:21:10,"-7,1610846","112,6220300"
35.16,KAB. MOJOKERTO,4523,0,215,34,0,0,0,2020-04-08 13:14:15,"-7,586911","112,420605"
35.72,KOTA BLITAR,758,13,143,1,1,1,0,2020-04-08 13:28:10,"-8,1031510","112,1626800"
35.78,KOTA SURABAYA,4030,409,1056,416,84,25,8,2020-04-08 15:23:21,"-7,2756141","112,6426424"
35.27,KAB. SAMPANG,7965,5,253,0,0,0,0,2020-04-08 13:06:00,"-7,1927155","113,2429293"
35.07,KAB. MALANG,1089,29,176,61,10,4,1,2020-04-08 12:56:15,-8.2084395,"112,7468452"
35.18,KAB. NGANJUK,14410,286,36,16,7,0,0,2020-04-08 12:57:00,"-7,6150520","111,6670610"
35.04,KAB. TULUNGAGUNG,6094,70,856,93,5,0,0,2020-04-08 14:20:16,"-7,7455014","111,8953035"
35.11,KAB. BONDOWOSO,8858,3,799,1,1,0,0,2020-04-08 12:49:43,"-8,0284796","114,0265067"
35.13,KAB. PROBOLINGGO,3496,7,278,10,0,0,0,2020-04-08 12:32:03,"-7,8223105","113,3864559"
35.75,KOTA PASURUAN,500,2,53,0,0,0,0,2020-04-08 12:29:58,"-7,6514338","112,8700750"
35.77,KOTA MADIUN,458,3,46,8,0,0,0,2020-04-08 12:21:15,"-7,6300605","111,4930316"
35.76,KOTA MOJOKERTO,669,1,184,6,0,0,0,2020-04-08 11:59:18,"-7,4714887","112,4217213"
35.28,KAB. PAMEKASAN,7510,7510,197,2,2,0,1,2020-04-08 11:51:21,"-7,1548002","113,4379637"
35.79,KOTA BATU,839,29,108,7,1,0,0,2020-04-08 11:42:44,"-7,8769031","112,4998848"
35.26,KAB. BANGKALAN,12172,8,400,3,0,0,0,2020-04-08 11:18:15,"-7,0234914","112,7519820"
35.08,KAB. LUMAJANG,2520,90,221,18,3,0,0,2020-04-08 12:21:59,"-8,1295529","113,2236942"
35.22,KAB. BOJONEGORO,12172,48,105,1,0,0,0,2020-04-07 15:06:18,"-7,1524790","111,8869290"
35.12,KAB. SITUBONDO,2593,100,211,19,8,0,0,2020-04-07 14:57:08,"-7,7168478","113,9278534"
35.19,KAB. MADIUN,405,236,152,7,1,0,0,2020-04-07 14:28:26,"-7,6666455","111,5912452"
35.78,KOTA SURABAYA,4030,394,917,367,84,23,8,2020-04-07 15:48:15,"-7,2756141","112,6426424"
35.29,KAB. SUMENEP,16374,13,110,0,0,0,0,2020-04-07 14:18:06,"-7,0095355","113,8495442"
35.24,KAB. LAMONGAN,26448,240,213,104,13,0,0,2020-04-07 14:03:55,"-7,1181110","112,4149810"
35.01,KAB. PACITAN,9364,5,411,5,0,0,0,2020-04-07 14:28:47,"-8,1318878","111,2278873"
35.15,KAB. SIDOARJO,508,406,308,88,18,1,2,2020-04-07 14:01:49,"-7,4338023","112,6734275"
35.28,KAB. PAMEKASAN,7420,7420,187,2,2,0,1,2020-04-07 14:01:38,"-7,1548002","113,4379637"
35.02,KAB. PONOROGO,6810,26,301,15,3,0,0,2020-04-07 13:58:56,"-7,8756185","111,4692888"
35.17,KAB. JOMBANG,4800,54,373,6,2,0,0,2020-04-07 13:58:32,"-7,5567779","112,2489964"
35.27,KAB. SAMPANG,7545,5,242,0,0,0,0,2020-04-07 13:58:24,"-7,1927155","113,2429293"
35.06,KAB. KEDIRI,5960,189,325,17,7,0,2,2020-04-07 13:58:13,"-7,8332959","112,1666262"
35.14,KAB. PASURUAN,278,15,31,27,0,0,0,2020-04-07 15:05:25,"-7,7514338","112,8700750"
35.03,KAB. TRENGGALEK,11157,7,589,7,1,0,0,2020-04-07 13:53:57,"-8,176848","111,610650"
35.13,KAB. PROBOLINGGO,3259,7,265,10,0,0,0,2020-04-07 14:11:12,"-7,8223105","113,3864559"
35.05,KAB. BLITAR,758,48,525,5,1,1,0,2020-04-07 14:53:35,"-8,2814419","112,3027620"
35.71,KOTA KEDIRI,854,37,136,4,1,0,0,2020-04-07 13:50:29,"-7,8228400","112,0118640"
35.10,KAB. BANYUWANGI,2700,62,467,5,1,0,0,2020-04-07 13:45:54,"-8,4169235","114,3311312"
35.25,KAB. GRESIK,795,40,735,61,5,0,1,2020-04-07 13:39:16,"-7,1610846","112,6220300"
35.76,KOTA MOJOKERTO,650,1,177,6,0,0,0,2020-04-07 13:29:30,"-7,4714887","112,4217213"
35.73,KOTA MALANG,876,153,322,53,8,4,0,2020-04-07 13:29:05,"-7,9786395","112,5617416"
35.09,KAB. JEMBER,5196,102,605,15,2,0,0,2020-04-07 13:25:43,"-8,3951516","113,6809395"
35.75,KOTA PASURUAN,472,2,47,0,0,0,0,2020-04-07 13:43:42,"-7,6514338","112,8700750"
35.04,KAB. TULUNGAGUNG,6017,38,836,85,5,0,0,2020-04-07 13:09:21,"-7,7455014","111,8953035"
35.74,KOTA PROBOLINGGO,508,3,175,2,0,0,0,2020-04-07 15:42:19,"-7,7723105","113,1664559"
35.07,KAB. MALANG,1073,6,173,59,10,4,1,2020-04-07 15:58:54,-8.2084395,"112,7468452"
35.72,KOTA BLITAR,726,13,141,1,1,1,0,2020-04-07 14:09:02,"-8,1031510","112,1626800"
35.20,KAB. MAGETAN,269,1,107,14,9,8,1,2020-04-07 12:46:04,"-7,6774309","111,3616371"
35.21,KAB. NGAWI,12039,5,205,7,0,0,0,2020-04-07 12:44:31,"-7,4324690","111,2547392"
35.23,KAB. TUBAN,8616,8,422,9,0,0,0,2020-04-07 12:37:20,-6.899108667900085,111.763916015625
35.18,KAB. NGANJUK,13261,279,35,16,7,0,0,2020-04-07 16:09:05,"-7,6150520","111,6670610"
35.16,KAB. MOJOKERTO,4263,0,194,34,0,0,0,2020-04-07 12:24:22,"-7,586911","112,420605"
35.11,KAB. BONDOWOSO,8597,0,791,1,1,0,0,2020-04-07 12:22:48,"-8,0284796","114,0265067"
35.08,KAB. LUMAJANG,2402,85,206,17,3,0,0,2020-04-07 12:19:20,"-8,1295529","113,2236942"
35.77,KOTA MADIUN,410,3,42,8,0,0,0,2020-04-07 12:12:30,"-7,6300605","111,4930316"
35.79,KOTA BATU,828,24,104,3,1,0,0,2020-04-07 12:04:27,"-7,8769031","112,4998848"
35.26,KAB. BANGKALAN,11636,3,379,3,0,0,0,2020-04-07 12:02:09,"-7,0234914","112,7519820"
35.04,KAB. TULUNGAGUNG,5823,38,820,73,5,0,0,2020-04-06 15:28:03,"-7,7455014","111,8953035"
35.12,KAB. SITUBONDO,2462,100,200,14,8,0,0,2020-04-06 15:16:14,"-7,7168478","113,9278534"
35.22,KAB. BOJONEGORO,11769,48,104,1,0,0,0,2020-04-06 14:29:46,"-7,1524790","111,8869290"
35.01,KAB. PACITAN,8976,0,407,5,0,0,0,2020-04-06 14:18:21,"-8,1318878","111,2278873"
35.21,KAB. NGAWI,11403,5,200,7,0,0,0,2020-04-06 14:15:01,"-7,4324690","111,2547392"
35.29,KAB. SUMENEP,15790,13,97,0,0,0,0,2020-04-06 14:07:19,"-7,0095355","113,8495442"
35.78,KOTA SURABAYA,4030,392,832,318,84,23,6,2020-04-06 15:57:58,"-7,2756141","112,6426424"
35.09,KAB. JEMBER,4050,86,591,15,2,0,0,2020-04-06 13:53:09,"-8,3951516","113,6809395"
35.03,KAB. TRENGGALEK,10379,7,555,6,1,0,0,2020-04-06 13:54:40,"-8,176848","111,610650"
35.05,KAB. BLITAR,756,16,481,5,1,1,0,2020-04-06 13:52:35,"-8,2814419","112,3027620"
35.14,KAB. PASURUAN,278,15,31,27,0,0,0,2020-04-06 16:15:18,"-7,7514338","112,8700750"
35.15,KAB. SIDOARJO,508,394,277,77,18,0,2,2020-04-06 15:26:34,"-7,4338023","112,6734275"
35.10,KAB. BANYUWANGI,2435,62,444,5,1,0,0,2020-04-06 13:48:44,"-8,4169235","114,3311312"
35.71,KOTA KEDIRI,775,34,134,3,1,0,0,2020-04-06 13:45:58,"-7,8228400","112,0118640"
35.74,KOTA PROBOLINGGO,460,3,163,2,0,0,0,2020-04-06 13:40:49,"-7,7723105","113,1664559"
35.17,KAB. JOMBANG,4683,54,334,5,2,0,0,2020-04-06 13:40:41,"-7,5567779","112,2489964"
35.02,KAB. PONOROGO,6096,26,268,14,3,0,0,2020-04-06 13:51:30,"-7,8756185","111,4692888"
35.25,KAB. GRESIK,790,40,698,57,5,0,1,2020-04-06 13:35:54,"-7,1610846","112,6220300"
35.24,KAB. LAMONGAN,25993,235,212,104,13,0,0,2020-04-06 13:37:14,"-7,1181110","112,4149810"
35.06,KAB. KEDIRI,5478,189,309,14,7,0,2,2020-04-06 13:30:41,"-7,8332959","112,1666262"
35.08,KAB. LUMAJANG,2302,85,202,17,3,0,0,2020-04-06 13:26:38,"-8,1295529","113,2236942"
35.73,KOTA MALANG,842,51,302,51,8,3,0,2020-04-06 15:24:26,"-7,9786395","112,5617416"
35.28,KAB. PAMEKASAN,7274,7274,190,2,2,0,1,2020-04-06 13:21:44,"-7,1548002","113,4379637"
35.18,KAB. NGANJUK,12354,279,34,16,5,0,0,2020-04-06 13:19:14,"-7,6150520","111,6670610"
35.75,KOTA PASURUAN,433,0,46,0,0,0,0,2020-04-06 13:14:12,"-7,6514338","112,8700750"
35.20,KAB. MAGETAN,269,1,96,14,9,8,1,2020-04-06 13:10:24,"-7,6774309","111,3616371"
35.27,KAB. SAMPANG,7347,5,221,0,0,0,0,2020-04-06 13:08:21,"-7,1927155","113,2429293"
35.72,KOTA BLITAR,694,13,139,1,1,1,0,2020-04-06 13:27:25,"-8,1031510","112,1626800"
35.19,KAB. MADIUN,401,236,144,5,1,0,0,2020-04-06 13:19:51,"-7,6666455","111,5912452"
35.13,KAB. PROBOLINGGO,2861,6,248,8,0,0,0,2020-04-06 12:59:51,"-7,8223105","113,3864559"
35.23,KAB. TUBAN,7786,8,408,9,0,0,0,2020-04-06 12:52:31,-6.899108667900085,111.763916015625
35.07,KAB. MALANG,159,8,159,55,7,4,1,2020-04-06 12:52:08,-8.2084395,"112,7468452"
35.76,KOTA MOJOKERTO,635,1,168,6,0,0,0,2020-04-06 12:29:04,"-7,4714887","112,4217213"
35.16,KAB. MOJOKERTO,4109,0,189,34,0,0,0,2020-04-06 12:41:52,"-7,586911","112,420605"
35.77,KOTA MADIUN,378,3,37,8,0,0,0,2020-04-06 12:07:18,"-7,6300605","111,4930316"
