kode,kab_kota,n_odr,n_otg,n_odp,n_pdp,n_confirm,n_sembuh,n_meninggal,last_update,lat,long
35.11,KAB. BONDOWOSO,8300,0,745,1,1,0,0,2020-04-06 12:31:23,"-8,0284796","114,0265067"
35.26,KAB. BANGKALAN,11139,8,345,3,0,0,0,2020-04-06 11:42:06,"-7,0234914","112,7519820"
35.79,KOTA BATU,812,24,99,3,1,0,0,2020-04-06 10:25:48,"-7,8769031","112,4998848"
35.29,KAB. SUMENEP,14375,13,93,0,0,0,0,2020-04-05 15:38:06,"-7,0095355","113,8495442"
35.09,KAB. JEMBER,3378,65,551,15,2,0,0,2020-04-05 14:40:08,"-8,3951516","113,6809395"
35.78,KOTA SURABAYA,4030,370,814,309,84,21,6,2020-04-05 17:22:33,"-7,2756141","112,6426424"
35.27,KAB. SAMPANG,6903,5,212,0,0,0,0,2020-04-05 14:01:42,"-7,1927155","113,2429293"
35.15,KAB. SIDOARJO,508,394,274,72,18,0,2,2020-04-05 17:23:06,"-7,4338023","112,6734275"
35.03,KAB. TRENGGALEK,9821,4,543,5,0,0,0,2020-04-05 13:55:56,"-8,176848","111,610650"
35.05,KAB. BLITAR,748,16,452,5,1,1,0,2020-04-05 13:55:20,"-8,2814419","112,3027620"
35.14,KAB. PASURUAN,278,0,31,27,0,0,0,2020-04-05 14:24:51,"-7,7514338","112,8700750"
35.19,KAB. MADIUN,402,224,139,4,1,0,0,2020-04-05 13:49:24,"-7,6666455","111,5912452"
35.06,KAB. KEDIRI,5210,188,303,14,7,0,2,2020-04-05 17:29:17,"-7,8332959","112,1666262"
35.21,KAB. NGAWI,9629,5,185,7,0,0,0,2020-04-05 13:41:21,"-7,4324690","111,2547392"
35.71,KOTA KEDIRI,743,34,128,3,1,0,0,2020-04-05 13:37:54,"-7,8228400","112,0118640"
35.17,KAB. JOMBANG,4564,46,323,5,2,0,0,2020-04-05 17:22:18,"-7,5567779","112,2489964"
35.22,KAB. BOJONEGORO,11403,48,101,1,0,0,0,2020-04-05 13:36:57,"-7,1524790","111,8869290"
35.04,KAB. TULUNGAGUNG,5650,38,802,57,6,0,0,2020-04-05 17:06:31,"-7,7455014","111,8953035"
35.12,KAB. SITUBONDO,2346,100,187,11,8,0,0,2020-04-05 17:17:56,"-7,7168478","113,9278534"
35.25,KAB. GRESIK,790,40,685,57,5,0,1,2020-04-05 17:21:49,"-7,1610846","112,6220300"
35.07,KAB. MALANG,996,5,131,49,8,4,1,2020-04-05 17:23:28,-8.2084395,"112,7468452"
35.02,KAB. PONOROGO,1240,6,257,13,3,0,0,2020-04-05 17:16:59,"-7,8756185","111,4692888"
35.73,KOTA MALANG,687,52,359,49,5,3,0,2020-04-05 13:12:31,"-7,9786395","112,5617416"
35.72,KOTA BLITAR,653,13,133,1,1,1,0,2020-04-05 13:07:31,"-8,1031510","112,1626800"
35.10,KAB. BANYUWANGI,2404,62,435,3,1,0,0,2020-04-05 12:46:44,"-8,4169235","114,3311312"
35.74,KOTA PROBOLINGGO,425,3,153,2,0,0,0,2020-04-05 12:40:08,"-7,7723105","113,1664559"
35.01,KAB. PACITAN,8708,0,398,5,0,0,0,2020-04-05 12:39:33,"-8,1318878","111,2278873"
35.76,KOTA MOJOKERTO,635,1,166,6,0,0,0,2020-04-05 12:35:54,"-7,4714887","112,4217213"
35.18,KAB. NGANJUK,11165,214,32,14,5,0,0,2020-04-05 17:31:00,"-7,6150520","111,6670610"
35.23,KAB. TUBAN,7414,8,399,9,0,0,0,2020-04-05 12:33:03,-6.899108667900085,111.763916015625
35.16,KAB. MOJOKERTO,3896,0,184,29,0,0,0,2020-04-05 12:31:07,"-7,586911","112,420605"
35.11,KAB. BONDOWOSO,7906,1,720,0,1,0,0,2020-04-05 17:20:56,"-8,0284796","114,0265067"
35.28,KAB. PAMEKASAN,7182,7,192,2,2,0,1,2020-04-05 17:20:00,"-7,1548002","113,4379637"
35.13,KAB. PROBOLINGGO,2772,6,245,6,0,0,0,2020-04-05 15:19:53,"-7,8223105","113,3864559"
35.77,KOTA MADIUN,340,3,36,8,0,0,0,2020-04-05 11:55:21,"-7,6300605","111,4930316"
35.08,KAB. LUMAJANG,2202,75,200,14,3,0,0,2020-04-05 11:46:36,"-8,1295529","113,2236942"
35.75,KOTA PASURUAN,417,0,45,0,0,0,0,2020-04-05 11:46:21,"-7,6514338","112,8700750"
35.20,KAB. MAGETAN,269,1,88,14,9,8,1,2020-04-05 11:43:52,"-7,6774309","111,3616371"
35.26,KAB. BANGKALAN,10699,8,339,3,0,0,0,2020-04-05 11:58:25,"-7,0234914","112,7519820"
35.24,KAB. LAMONGAN,24989,229,202,104,13,0,0,2020-04-05 11:22:18,"-7,1181110","112,4149810"
35.79,KOTA BATU,802,24,99,3,1,0,0,2020-04-05 10:52:26,"-7,8769031","112,4998848"
35.28,KAB. PAMEKASAN,6913,0,197,3,1,0,1,2020-04-04 15:07:30,"-7,1548002","113,4379637"
35.19,KAB. MADIUN,402,224,131,4,1,0,0,2020-04-04 16:05:55,"-7,6666455","111,5912452"
35.71,KOTA KEDIRI,713,30,103,1,1,0,0,2020-04-04 14:16:42,"-7,8228400","112,0118640"
35.25,KAB. GRESIK,780,40,669,57,4,0,1,2020-04-04 15:20:11,"-7,1610846","112,6220300"
35.22,KAB. BOJONEGORO,10843,48,97,1,0,0,0,2020-04-04 14:01:23,"-7,1524790","111,8869290"
35.02,KAB. PONOROGO,1217,6,249,12,0,0,0,2020-04-04 14:00:38,"-7,8756185","111,4692888"
35.12,KAB. SITUBONDO,2326,100,184,5,6,0,0,2020-04-04 14:35:39,"-7,7168478","113,9278534"
35.06,KAB. KEDIRI,4729,188,286,12,4,0,2,2020-04-04 13:53:18,"-7,8332959","112,1666262"
35.05,KAB. BLITAR,748,16,440,3,1,1,0,2020-04-04 13:51:41,"-8,2814419","112,3027620"
35.21,KAB. NGAWI,8620,5,176,7,0,0,0,2020-04-05 10:38:12,"-7,4324690","111,2547392"
35.14,KAB. PASURUAN,278,0,31,25,0,0,0,2020-04-04 13:40:04,"-7,7514338","112,8700750"
35.03,KAB. TRENGGALEK,9297,4,532,2,0,0,0,2020-04-04 13:37:14,"-8,176848","111,610650"
35.29,KAB. SUMENEP,14024,0,91,0,0,0,0,2020-04-04 13:36:22,"-7,0095355","113,8495442"
35.27,KAB. SAMPANG,6429,5,207,0,0,0,0,2020-04-04 13:35:02,"-7,1927155","113,2429293"
35.01,KAB. PACITAN,8519,0,396,5,0,0,0,2020-04-04 13:30:35,"-8,1318878","111,2278873"
35.17,KAB. JOMBANG,4361,45,323,5,1,0,0,2020-04-04 13:28:15,"-7,5567779","112,2489964"
35.09,KAB. JEMBER,2922,65,517,8,2,0,0,2020-04-04 13:28:52,"-8,3951516","113,6809395"
35.15,KAB. SIDOARJO,508,355,270,73,14,0,2,2020-04-04 13:27:06,"-7,4338023","112,6734275"
35.78,KOTA SURABAYA,249,3730,653,251,77,17,6,2020-04-04 14:03:43,"-7,2756141","112,6426424"
35.20,KAB. MAGETAN,269,1,88,12,9,8,1,2020-04-04 13:19:19,"-7,6774309","111,3616371"
35.73,KOTA MALANG,675,52,343,46,5,3,0,2020-04-04 13:18:25,"-7,9786395","112,5617416"
35.07,KAB. MALANG,967,100,117,49,5,0,1,2020-04-04 13:17:12,-8.2084395,"112,7468452"
35.04,KAB. TULUNGAGUNG,5606,38,797,58,1,0,0,2020-04-04 13:14:07,"-7,7455014","111,8953035"
35.72,KOTA BLITAR,633,13,131,1,1,1,0,2020-04-04 13:16:03,"-8,1031510","112,1626800"
35.18,KAB. NGANJUK,10574,206,30,17,4,0,0,2020-04-04 13:05:01,"-7,6150520","111,6670610"
35.23,KAB. TUBAN,7117,8,388,7,0,0,0,2020-04-04 12:56:00,-6.899108667900085,111.763916015625
35.76,KOTA MOJOKERTO,591,1,162,6,0,0,0,2020-04-04 12:41:56,"-7,4714887","112,4217213"
35.11,KAB. BONDOWOSO,7193,1,618,1,0,0,0,2020-04-04 12:25:45,"-8,0284796","114,0265067"
35.74,KOTA PROBOLINGGO,422,3,153,2,0,0,0,2020-04-04 12:12:55,"-7,7723105","113,1664559"
35.16,KAB. MOJOKERTO,3844,0,183,28,0,0,0,2020-04-04 12:09:50,"-7,586911","112,420605"
35.77,KOTA MADIUN,317,3,35,8,0,0,0,2020-04-04 12:07:52,"-7,6300605","111,4930316"
35.10,KAB. BANYUWANGI,2290,62,433,3,1,0,0,2020-04-04 12:06:09,"-8,4169235","114,3311312"
35.26,KAB. BANGKALAN,9992,3,319,1,0,0,0,2020-04-04 11:55:30,"-7,0234914","112,7519820"
35.79,KOTA BATU,789,23,97,2,1,0,0,2020-04-04 11:44:27,"-7,8769031","112,4998848"
35.08,KAB. LUMAJANG,2102,75,194,14,3,0,0,2020-04-04 10:55:40,"-8,1295529","113,2236942"
35.75,KOTA PASURUAN,389,0,44,0,0,0,0,2020-04-04 10:50:03,"-7,6514338","112,8700750"
35.13,KAB. PROBOLINGGO,2541,6,222,5,0,0,0,2020-04-04 10:37:49,"-7,8223105","113,3864559"
35.01,KAB. PACITAN,7750,0,372,4,0,0,0,2020-04-03 14:42:17,"-8,1318878","111,2278873"
35.78,KOTA SURABAYA,3730,188,575,221,77,16,4,2020-04-03 16:57:57,"-7,2756141","112,6426424"
35.22,KAB. BOJONEGORO,10283,48,95,1,0,0,0,2020-04-03 14:27:17,"-7,1524790","111,8869290"
35.24,KAB. LAMONGAN,23087,11,190,40,10,0,0,2020-04-03 16:09:28,"-7,1181110","112,4149810"
35.04,KAB. TULUNGAGUNG,1257,38,789,46,1,0,0,2020-04-03 14:09:00,"-7,7455014","111,8953035"
35.14,KAB. PASURUAN,278,0,16,24,0,0,0,2020-04-03 14:21:11,"-7,7514338","112,8700750"
35.09,KAB. JEMBER,2573,64,471,14,2,0,0,2020-04-03 15:44:12,"-8,3951516","113,6809395"
35.19,KAB. MADIUN,399,224,104,4,1,0,0,2020-04-03 14:41:42,"-7,6666455","111,5912452"
35.15,KAB. SIDOARJO,508,351,233,72,14,0,2,2020-04-03 15:59:15,"-7,4338023","112,6734275"
35.10,KAB. BANYUWANGI,2187,62,405,2,1,0,0,2020-04-03 13:56:10,"-8,4169235","114,3311312"
35.29,KAB. SUMENEP,12546,0,91,0,0,0,0,2020-04-03 13:51:26,"-7,0095355","113,8495442"
35.03,KAB. TRENGGALEK,8713,4,515,2,0,0,0,2020-04-03 13:45:57,"-8,176848","111,610650"
35.72,KOTA BLITAR,596,13,130,1,1,0,0,2020-04-03 13:45:35,"-8,1031510","112,1626800"
35.20,KAB. MAGETAN,269,0,88,12,9,8,1,2020-04-03 15:35:58,"-7,6774309","111,3616371"
35.25,KAB. GRESIK,780,40,617,54,4,0,1,2020-04-03 15:41:38,"-7,1610846","112,6220300"
35.71,KOTA KEDIRI,676,25,94,1,1,0,0,2020-04-03 13:37:12,"-7,8228400","112,0118640"
35.17,KAB. JOMBANG,4067,45,262,5,1,0,0,2020-04-03 13:31:06,"-7,5567779","112,2489964"
35.21,KAB. NGAWI,7981,5,173,7,0,0,0,2020-04-03 13:52:47,"-7,4324690","111,2547392"
35.06,KAB. KEDIRI,4729,188,254,14,4,0,1,2020-04-03 15:47:27,"-7,8332959","112,1666262"
35.02,KAB. PONOROGO,1210,7,237,12,0,0,0,2020-04-03 13:27:23,"-7,8756185","111,4692888"
35.12,KAB. SITUBONDO,2317,100,171,5,6,0,0,2020-04-03 15:57:37,"-7,7168478","113,9278534"
35.07,KAB. MALANG,942,96,116,42,5,0,1,2020-04-03 13:21:07,-8.2084395,"112,7468452"
35.05,KAB. BLITAR,747,16,428,3,1,1,0,2020-04-03 13:20:54,"-8,2814419","112,3027620"
35.73,KOTA MALANG,663,52,314,38,5,3,0,2020-04-03 15:08:58,"-7,9786395","112,5617416"
35.76,KOTA MOJOKERTO,572,1,161,6,0,0,0,2020-04-03 13:00:19,"-7,4714887","112,4217213"
35.13,KAB. PROBOLINGGO,2445,6,212,4,0,0,0,2020-04-03 14:03:37,"-7,8223105","113,3864559"
35.77,KOTA MADIUN,310,3,34,8,0,0,0,2020-04-03 12:49:48,"-7,6300605","111,4930316"
35.18,KAB. NGANJUK,9637,199,29,17,4,0,0,2020-04-03 12:49:32,"-7,6150520","111,6670610"
35.74,KOTA PROBOLINGGO,408,3,151,2,0,0,0,2020-04-03 12:48:45,"-7,7723105","113,1664559"
35.11,KAB. BONDOWOSO,6735,1,546,1,0,0,0,2020-04-03 12:44:25,"-8,0284796","114,0265067"
35.23,KAB. TUBAN,6571,0,374,7,0,0,0,2020-04-03 12:39:45,-6.899108667900085,111.763916015625
35.27,KAB. SAMPANG,5760,5,182,0,0,0,0,2020-04-03 12:36:48,"-7,1927155","113,2429293"
35.28,KAB. PAMEKASAN,6610,0,200,3,1,0,1,2020-04-03 15:07:04,"-7,1548002","113,4379637"
35.16,KAB. MOJOKERTO,3728,0,176,28,0,0,0,2020-04-03 12:06:03,"-7,586911","112,420605"
35.79,KOTA BATU,755,23,95,2,1,0,0,2020-04-03 12:01:35,"-7,8769031","112,4998848"
35.26,KAB. BANGKALAN,9151,0,303,1,0,0,0,2020-04-03 15:12:03,"-7,0234914","112,7519820"
35.08,KAB. LUMAJANG,1952,75,188,14,3,0,0,2020-04-03 11:17:19,"-8,1295529","113,2236942"
35.75,KOTA PASURUAN,353,0,44,0,0,0,0,2020-04-03 11:13:55,"-7,6514338","112,8700750"
35.19,KAB. MADIUN,397,2,92,4,1,0,0,2020-04-02 15:58:06,"-7,6666455","111,5912452"
35.14,KAB. PASURUAN,265,0,13,24,0,0,0,2020-04-02 14:20:52,"-7,7514338","112,8700750"
35.22,KAB. BOJONEGORO,9719,15,90,1,0,0,0,2020-04-02 14:17:26,"-7,1524790","111,8869290"
35.71,KOTA KEDIRI,612,25,94,1,1,0,0,2020-04-02 14:33:48,"-7,8228400","112,0118640"
35.78,KOTA SURABAYA,3730,178,508,229,44,13,4,2020-04-02 14:04:18,"-7,2756141","112,6426424"
35.03,KAB. TRENGGALEK,8115,4,509,2,0,0,0,2020-04-02 13:59:43,"-8,176848","111,610650"
35.10,KAB. BANYUWANGI,2121,62,352,2,1,0,0,2020-04-02 13:58:53,"-8,4169235","114,3311312"
35.09,KAB. JEMBER,1868,64,393,14,2,0,0,2020-04-02 13:56:15,"-8,3951516","113,6809395"
35.02,KAB. PONOROGO,1177,5,224,10,0,0,0,2020-04-02 14:21:49,"-7,8756185","111,4692888"
35.15,KAB. SIDOARJO,508,341,203,71,11,0,2,2020-04-02 14:37:30,"-7,4338023","112,6734275"
35.17,KAB. JOMBANG,3828,44,235,5,1,0,0,2020-04-02 13:52:47,"-7,5567779","112,2489964"
35.01,KAB. PACITAN,7074,6,325,4,0,0,0,2020-04-02 13:52:14,"-8,1318878","111,2278873"
35.05,KAB. BLITAR,747,16,385,4,1,1,0,2020-04-02 13:51:42,"-8,2814419","112,3027620"
35.06,KAB. KEDIRI,4259,161,206,11,2,0,1,2020-04-02 13:45:18,"-7,8332959","112,1666262"
35.04,KAB. TULUNGAGUNG,4806,38,726,44,1,0,0,2020-04-02 13:39:23,"-7,7455014","111,8953035"
35.20,KAB. MAGETAN,269,0,67,11,9,5,1,2020-04-02 14:33:38,"-7,6774309","111,3616371"
35.28,KAB. PAMEKASAN,6008,0,191,3,1,0,1,2020-04-02 15:49:47,"-7,1548002","113,4379637"
35.25,KAB. GRESIK,777,36,496,51,3,0,1,2020-04-02 13:29:25,"-7,1610846","112,6220300"
35.74,KOTA PROBOLINGGO,371,3,136,2,0,0,0,2020-04-02 13:26:42,"-7,7723105","113,1664559"
35.24,KAB. LAMONGAN,20311,13,170,26,0,0,0,2020-04-02 13:24:43,"-7,1181110","112,4149810"
35.12,KAB. SITUBONDO,2217,0,160,4,6,0,0,2020-04-02 13:37:40,"-7,7168478","113,9278534"
35.72,KOTA BLITAR,567,13,128,1,1,0,0,2020-04-02 13:24:50,"-8,1031510","112,1626800"
35.73,KOTA MALANG,653,52,233,33,5,3,0,2020-04-02 14:46:51,"-7,9786395","112,5617416"
35.21,KAB. NGAWI,7037,5,164,7,0,0,0,2020-04-02 13:10:18,"-7,4324690","111,2547392"
35.27,KAB. SAMPANG,5186,5,171,0,0,0,0,2020-04-02 13:04:51,"-7,1927155","113,2429293"
35.77,KOTA MADIUN,240,3,27,8,0,0,0,2020-04-02 12:53:04,"-7,6300605","111,4930316"
35.07,KAB. MALANG,901,95,115,34,5,0,1,2020-04-02 12:41:46,-8.2084395,"112,7468452"
35.18,KAB. NGANJUK,8883,2,27,17,4,0,0,2020-04-02 12:39:36,"-7,6150520","111,6670610"
35.23,KAB. TUBAN,5315,0,348,7,0,0,0,2020-04-02 12:36:30,-6.899108667900085,111.763916015625
35.76,KOTA MOJOKERTO,528,1,154,7,0,0,0,2020-04-02 12:35:00,"-7,4714887","112,4217213"
35.16,KAB. MOJOKERTO,3623,0,171,28,0,0,0,2020-04-02 12:29:20,"-7,586911","112,420605"
35.79,KOTA BATU,692,23,92,1,1,0,0,2020-04-02 12:22:50,"-7,8769031","112,4998848"
35.75,KOTA PASURUAN,323,0,41,0,0,0,0,2020-04-02 12:20:10,"-7,6514338","112,8700750"
35.08,KAB. LUMAJANG,1802,70,175,14,3,0,0,2020-04-02 12:23:31,"-8,1295529","113,2236942"
35.11,KAB. BONDOWOSO,6078,1,411,1,0,0,0,2020-04-02 12:12:57,"-8,0284796","114,0265067"
35.29,KAB. SUMENEP,9869,0,89,0,0,0,0,2020-04-02 14:43:59,"-7,0095355","113,8495442"
35.13,KAB. PROBOLINGGO,2249,4,197,4,0,0,0,2020-04-02 12:00:55,"-7,8223105","113,3864559"
35.26,KAB. BANGKALAN,7923,0,277,1,0,0,0,2020-04-02 11:41:04,"-7,0234914","112,7519820"
35.78,KOTA SURABAYA,3730,171,258,137,44,13,3,2020-04-01 16:41:36,"-7,2756141","112,6426424"
35.22,KAB. BOJONEGORO,9031,15,87,1,0,0,0,2020-04-01 14:39:49,"-7,1524790","111,8869290"
35.71,KOTA KEDIRI,573,24,87,2,1,0,0,2020-04-01 14:35:42,"-7,8228400","112,0118640"
35.01,KAB. PACITAN,6775,6,298,3,0,0,0,2020-04-01 14:10:21,"-8,1318878","111,2278873"
35.14,KAB. PASURUAN,265,0,13,16,0,0,0,2020-04-01 14:03:50,"-7,7514338","112,8700750"
35.06,KAB. KEDIRI,3603,157,166,11,2,0,1,2020-04-01 13:58:28,"-7,8332959","112,1666262"
35.05,KAB. BLITAR,742,11,367,2,1,1,0,2020-04-01 13:58:14,"-8,2814419","112,3027620"
35.72,KOTA BLITAR,514,13,127,1,1,0,0,2020-04-01 14:08:06,"-8,1031510","112,1626800"
35.27,KAB. SAMPANG,4398,5,153,0,0,0,0,2020-04-01 13:55:57,"-7,1927155","113,2429293"
35.24,KAB. LAMONGAN,18108,14,165,21,0,0,0,2020-04-01 13:52:58,"-7,1181110","112,4149810"
35.15,KAB. SIDOARJO,508,341,187,64,11,0,1,2020-04-01 16:38:53,"-7,4338023","112,6734275"
35.20,KAB. MAGETAN,269,0,57,10,9,5,1,2020-04-01 15:24:24,"-7,6774309","111,3616371"
35.21,KAB. NGAWI,6324,4,151,7,0,0,0,2020-04-01 13:43:59,"-7,4324690","111,2547392"
35.03,KAB. TRENGGALEK,7391,4,454,2,0,0,0,2020-04-01 13:43:36,"-8,176848","111,610650"
35.09,KAB. JEMBER,1679,19,260,14,2,0,0,2020-04-01 13:34:15,"-8,3951516","113,6809395"
35.17,KAB. JOMBANG,2736,29,216,5,1,0,0,2020-04-01 13:28:03,"-7,5567779","112,2489964"
35.23,KAB. TUBAN,4574,0,320,7,0,0,0,2020-04-01 13:27:41,-6.899108667900085,111.763916015625
35.25,KAB. GRESIK,777,36,490,50,3,0,1,2020-04-01 13:27:19,"-7,1610846","112,6220300"
35.75,KOTA PASURUAN,288,2,40,0,0,0,0,2020-04-01 13:26:13,"-7,6514338","112,8700750"
35.04,KAB. TULUNGAGUNG,4698,37,624,35,1,0,0,2020-04-01 13:16:50,"-7,7455014","111,8953035"
35.73,KOTA MALANG,577,44,223,26,5,3,0,2020-04-01 17:13:18,"-7,9786395","112,5617416"
35.10,KAB. BANYUWANGI,1886,62,319,0,1,0,0,2020-04-01 13:10:53,"-8,4169235","114,3311312"
35.74,KOTA PROBOLINGGO,325,2,131,2,0,0,0,2020-04-01 13:07:31,"-7,7723105","113,1664559"
35.02,KAB. PONOROGO,1147,86,191,11,0,0,0,2020-04-01 13:02:53,"-7,8756185","111,4692888"
35.18,KAB. NGANJUK,8101,6,27,8,4,0,0,2020-04-01 16:30:19,"-7,6150520","111,6670610"
35.79,KOTA BATU,660,23,86,1,1,0,0,2020-04-01 12:54:51,"-7,8769031","112,4998848"
35.76,KOTA MOJOKERTO,510,1,149,5,0,0,0,2020-04-01 12:48:13,"-7,4714887","112,4217213"
35.77,KOTA MADIUN,183,3,26,8,0,0,0,2020-04-01 12:38:34,"-7,6300605","111,4930316"
35.08,KAB. LUMAJANG,1652,70,153,14,3,0,0,2020-04-01 13:24:43,"-8,1295529","113,2236942"
35.11,KAB. BONDOWOSO,5545,1,317,1,0,0,0,2020-04-01 12:57:25,"-8,0284796","114,0265067"
35.26,KAB. BANGKALAN,6769,0,258,1,0,0,0,2020-04-01 12:59:13,"-7,0234914","112,7519820"
35.07,KAB. MALANG,891,99,101,28,5,0,1,2020-04-01 12:47:23,-8.2084395,"112,7468452"
35.16,KAB. MOJOKERTO,3470,0,165,28,0,0,0,2020-04-01 13:08:45,"-7,586911","112,420605"
35.28,KAB. PAMEKASAN,4394,0,178,3,1,0,1,2020-04-01 15:21:26,"-7,1548002","113,4379637"
35.19,KAB. MADIUN,388,2,89,4,1,0,0,2020-04-01 11:56:13,"-7,6666455","111,5912452"
35.12,KAB. SITUBONDO,1934,0,145,4,6,0,0,2020-04-01 16:36:58,"-7,7168478","113,9278534"
35.29,KAB. SUMENEP,7137,0,76,0,0,0,0,2020-04-01 13:15:41,"-7,0095355","113,8495442"
35.13,KAB. PROBOLINGGO,1842,0,174,4,0,0,0,2020-04-01 11:25:03,"-7,8223105","113,3864559"
35.12,KAB. SITUBONDO,1432,0,125,2,5,0,0,2020-03-31 16:11:11,"-7,7168478","113,9278534"
35.22,KAB. BOJONEGORO,7706,15,75,1,0,0,0,2020-03-31 14:44:58,"-7,1524790","111,8869290"
35.76,KOTA MOJOKERTO,459,1,129,10,0,0,0,2020-03-31 14:35:02,"-7,4714887","112,4217213"
35.29,KAB. SUMENEP,6686,0,72,0,0,0,0,2020-03-31 15:54:12,"-7,0095355","113,8495442"
35.24,KAB. LAMONGAN,15563,15,154,17,0,0,0,2020-03-31 14:22:50,"-7,1181110","112,4149810"
35.19,KAB. MADIUN,388,0,89,3,1,0,0,2020-03-31 15:54:51,"-7,6666455","111,5912452"
35.78,KOTA SURABAYA,3730,159,237,73,41,13,2,2020-03-31 15:41:16,"-7,2756141","112,6426424"
35.72,KOTA BLITAR,459,13,119,1,1,0,0,2020-03-31 14:05:12,"-8,1031510","112,1626800"
35.03,KAB. TRENGGALEK,6292,4,400,2,0,0,0,2020-03-31 14:06:01,"-8,176848","111,610650"
35.01,KAB. PACITAN,5905,6,289,3,0,0,0,2020-03-31 14:04:40,"-8,1318878","111,2278873"
35.06,KAB. KEDIRI,3059,0,148,7,2,0,1,2020-03-31 13:59:47,"-7,8332959","112,1666262"
35.71,KOTA KEDIRI,399,24,81,1,1,0,0,2020-03-31 13:58:11,"-7,8228400","112,0118640"
35.10,KAB. BANYUWANGI,1730,62,288,0,1,0,0,2020-03-31 14:00:21,"-8,4169235","114,3311312"
35.02,KAB. PONOROGO,1125,69,191,11,0,0,0,2020-03-31 13:55:29,"-7,8756185","111,4692888"
35.27,KAB. SAMPANG,3649,5,120,0,0,0,0,2020-03-31 13:51:41,"-7,1927155","113,2429293"
35.09,KAB. JEMBER,1402,19,222,13,2,0,0,2020-03-31 13:41:17,"-8,3951516","113,6809395"
35.15,KAB. SIDOARJO,508,313,178,52,10,0,1,2020-03-31 13:40:28,"-7,4338023","112,6734275"
35.04,KAB. TULUNGAGUNG,3987,22,559,31,1,0,0,2020-03-31 13:34:32,"-7,7455014","111,8953035"
35.05,KAB. BLITAR,325,6,325,2,1,1,0,2020-03-31 13:53:41,"-8,2814419","112,3027620"
35.79,KOTA BATU,618,0,80,1,1,0,0,2020-03-31 13:28:51,"-7,8769031","112,4998848"
